Title,Awards,Nominations
Barry Lyndon,4,7
Dersu Uzala,1,1
Dog Day Afternoon,1,6
The End of the Game,1,1
Great (Great (Isambard Kingdom Brunel)),1,1
The Hindenburg,2,3
Jaws,3,4
The Man Who Skied Down Everest,1,1
Nashville,1,5
One Flew over the Cuckoo's Nest,5,9
Shampoo,1,4
The Sunshine Boys,1,4
Alice Doesn't Live Here Anymore,1,3
Amarcord,1,3
Chinatown,1,11
Closed Mondays,1,1
Don't,1,1
Earthquake,2,4
The Godfather Part II,6,11
The Great Gatsby,2,2
Harry and Tonto,1,2
Hearts and Minds,1,1
Murder on the Orient Express,1,6
"One-Eyed Men Are Kings (...borgnes sont rois, Les)",1,1
The Towering Inferno,3,8
The Bolero,1,1
Cries and Whispers (Viskningar och rop),1,5
Day for Night (La Nuit américaine),1,4
The Exorcist,2,10
Frank Film,1,1
The Great American Cowboy,1,1
The Paper Chase,1,3
Paper Moon,1,4
Princeton: A Search for Answers,1,1
Save the Tiger,1,3
The Sting,7,10
A Touch of Class,1,5
The Way We Were,2,6
Butterflies Are Free,1,3
Cabaret,8,10
The Candidate,1,2
A Christmas Carol,1,5
The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie),1,2
The Godfather,3,4
Limelight,1,6
Marjoe,1,1
Norman Rockwell's World... An American Dream,1,1
The Poseidon Adventure,2,8
This Tiny World,1,1
Travels with My Aunt,1,4
Bedknobs and Broomsticks,1,5
The Crunch Bird,1,1
Fiddler on the Roof,3,8
The French Connection,5,8
The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini),1,2
The Hellstrom Chronicle,1,1
The Hospital,1,2
Klute,1,2
The Last Picture Show,2,8
Nicholas and Alexandra,2,6
Sentinels of Silence,2,2
Shaft,1,2
Summer of '42,1,4
Airport,1,10
Cromwell,1,2
Interviews with My Lai Veterans,1,1
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),1,2
Is It Always Right to Be Right?,1,1
Let It Be,1,1
Love Story,1,7
Lovers and Other Strangers,1,3
M*A*S*H,1,5
Patton,7,10
The Resurrection of Broncho Billy,1,1
Ryan's Daughter,2,4
Tora! Tora! Tora!,1,5
Women in Love,1,4
Woodstock,1,3
Anne of the Thousand Days,1,10
Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein),1,1
Butch Cassidy and the Sundance Kid,4,7
Cactus Flower,1,1
Czechoslovakia 1968,1,1
"Hello, Dolly!",3,7
It's Tough to Be a Bird,1,1
The Magic Machines,1,2
Marooned,1,3
Midnight Cowboy,3,7
The Prime of Miss Jean Brodie,1,2
"They Shoot Horses, Don't They?",1,9
True Grit,1,2
Z,2,5
2001: A Space Odyssey,1,4
Bullitt,1,2
Charly,1,1
Funny Girl,1,8
Journey into Self,1,1
